name,lat,lon
1-й автобусный парк,55.6491727,37.545262730419154
149 Механический завод,55.047682,38.78745938816395
15-й автобусный парк,55.8280819,37.4165679
17-й автобусный парк,55.6086515,37.6173038
18-й автобусный парк,55.6695987,37.44172989303647
19-й таксомоторный парк,55.65501855,37.73152934642459
5-й автобусный парк,55.7720054,37.4973376
6-й автобусный парк,55.8072218,37.6125652
6-й троллейбусный парк,55.81162155,37.62895608856718
7-й автобусный парк,55.8505313,37.5656838
7-й троллейбусный парк,55.6783792,37.63807885493672
8-й троллейбусный парк,55.67080645,37.61820489088357
9-й автобусный парк,55.671938350000005,37.63462002514259
«Борец»,55.6416094,37.36034154122004
«ВНИИИнструмент»,55.781862549725794,37.71493545767159
«Вымпел»,55.8077229,37.79405206307598
«Гражданские самолёты Сухого»,55.7810796,37.54392179665891
«Дукс»,55.78468705,37.58239181394694
«Звёздный» (бывший хлебозавод № 11 им. Микояна),55.80655544498594,37.58475001126756
«Знамя Труда»,55.62667405,37.45228300603773
«Компрессор»,55.75192315,37.72213853103541
«Красный пролетарий» (филиал),55.67969697932113,37.563036556254175
«Мосинжбетон»,55.3768871,36.36937959444335
«Московский инструментальный завод»,55.7806241,37.7152121
«Мосспецжелезобетон»,55.772690712142925,37.50954500185056
«Нестандартмаш»,55.74551135,37.80637440116142
«Прожектор»,55.75593435,37.74791312427297
«Простор»,55.7583967,37.5887135
«СКИМ»,55.68915337714929,37.62446260000001
«Салют»,55.6514491,37.48308864617485
«Серп и Молот»,55.7482349,37.6821726
«Синтез»,55.3914224,37.0266303
«Станкоагрегат»,55.7321493,37.76429221038988
«Станколит»,55.8005399,37.594130640719065
«Фармакоптево»,55.83197057506526,37.51248124232841
«Ферейн»,55.8905482,38.8097736
«Электрозавод»,55.7871366,37.70254859437721
АЗЛК,55.7236194,37.6930698
АТЭ-1,55.7858622,37.7035151
Бусиновский мясоперерабатывающий комбинат,55.8846878,37.49518500392058
Бутовский кирпичный завод,55.53872396201015,37.57341622812315
ВНИИХТ,55.648666,37.671518326364776
Вагонное и локомотивное депо «Люблино»,55.67742501433422,37.73204291534319
Владыкинский механический завод,55.8505513,37.57006506233469
Восточная станция водоподготовки Мосводоканала,55.81706851264397,37.85841969444832
Газстроймаш,55.02126935,37.475496069565466
ДСК № 7,55.6484832,37.3187147
ДСК-2,55.5171487,37.295395210737325
Депо Москва-Пассажирская-Киевская,55.73982973592853,37.55996830000001
Депо имени Ильича,55.77474815327794,37.568177913492605
Деревообрабатывающий завод № 27,55.61316345,36.97862532500001
Завод «Динамо»,55.7114552,37.6604096
Завод «Сапфир»,55.618802,37.61888187040935
Завод ЖБК,55.9128562,38.0603474
Завод железобетонных конструкций «ПИК-Индустрия»,55.68391602414479,37.44580794047785
Завод игрушек «Огонёк»,55.608137413507,37.657254413492616
Завод им. Хруничева,55.762778,37.499444
Завод нестандартного оборудования,55.6368247619686,37.60345193647253
Западная станция водоподготовки Мосводоканала,55.63374309654013,37.39127461534319
Западный порт,55.74986305,37.51743141055604
ЗиЛ,55.6916155,37.64132095203145
КБ «Мотор»,55.76015972529016,37.54956331349262
Калибровский завод,55.73368303276615,37.43316645833679
Калининградский совхоз декоративного садоводства,55.89519925,37.790499447713074
Карачаровский механический завод,55.7268457,37.73277192834372
Комбинат шампанских вин,55.67299375,37.43249473153256
Коньковский водопроводный регулирующий узел,55.6149923,37.50434097714257
Краснопресненское (Строгинское) трамвайное депо,55.79478105,37.38479472940442
Курчатовский институт,55.800278,37.466667
Курьяновская станция аэрации,55.6615641,37.68908842705535
Лосиноостровский завод строительных материалов,55.748656717218914,37.65584731540099
Люблинский литейно-механический завод,55.6692483,37.7397149
МИФИ,55.649722,37.648611
ММЗ «Авангард»,55.827812615773134,37.51183580185056
МЭЛЗ,56.2056802,36.89264079584411
Медведковский хлебозавод,55.88556507190009,37.6412965576716
Мелькомбинат № 3,55.77029621974266,37.52257679814944
Мосавтотранс,55.754034871347855,37.5152730576716
Мосинжбетон,55.3768871,36.36937959444335
Московская тонкосуконная фабрика им. Петра Алексеева,55.839547755977954,37.51599691719373
Московский Пиво-Безалкогольный комбинат «Очаково»,55.67582677019585,37.43478054232842
Московский жировой комбинат,56.52788982213748,37.63850117717198
Московский завод полиметаллов,55.6422374,37.685944493730815
Московский нефтеперерабатывающий завод,55.653889,37.810556
Московский радиотехнический институт,55.6192452,37.61023092536375
Московский трубозаготовительный комбинат,55.879142910577386,37.499949413492615
Московский шинный завод,55.72449737831099,37.67333633862726
Московский электродный завод,55.76280345,37.74983675168607
Московский электромеханический завод имени Владимира Ильича,55.72042387798038,37.62992655767158
Моссельмаш,55.861749154238886,37.52789280179046
Мостотряд-4,55.630321856201775,37.63092040821976
Мусоросжигательный завод,55.7179807,37.934410715872055
НИМИ,55.84020519777383,37.48428942883579
ОАО «Московский комбинат хлебопродуктов»,55.77623559829759,37.67003827116421
ОАО «Мосточлегмаш»,55.7130435,37.41646655023064
ОАО «Научно-исследовательский центр по испытанию высоковольтной аппаратуры» (НИЦ ВВА),55.87721530597429,37.6063256423284
ОИВТ РАН,55.8922479,37.520972367223294
ОКБ имени П. О. Сухого,55.782142715573976,37.54432114047785
Останкинский мясоперерабатывающий комбинат,55.81826815,37.59888513317848
ППК «Медная фольга»,55.67375652632067,37.61625951958299
Пивоварня «Эфес»,54.5446170107499,36.31302614417897
Плодоовощная база «Красная Пресня»,55.77122058676248,37.52550311534319
Подстанция 370,54.66671515,39.12917027034457
Подстанция 505 Бескудниково,55.87687941636222,37.59949497486534
Покровская плодоовощная база,55.5931584,37.62436618725249
РТС «Строгино»,55.78868593229226,37.39970804232841
Рублёвская станция водоподготовки Мосводоканала,55.78347540356455,37.348022510374506
Рыбокомбинат «Меридиан»,55.8866178332097,37.50185662883579
Северная станция водоподготовки Мосводоканала,55.946669351601145,37.54619681349261
ТК «Метро»,55.85250867437103,37.66269227453384
ТМЗ,55.8412438,37.4525194
ТЭЦ-11,55.758333,37.516667
ТЭЦ-12,55.741667,37.533333
ТЭЦ-16,55.758333,37.516667
ТЭЦ-20,55.684722,37.576389
ТЭЦ-21,55.858611,37.516667
ТЭЦ-23,55.750833,37.716667
ТЭЦ-25,55.653889,37.405556
ТЭЦ-26,55.581389,37.647222
ТЭЦ-8,55.706389,37.658611
ТЭЦ-9,55.709444,37.633889
Технопарк «Строгино»,55.7938986,37.392522922342906
Типография «Правды»,55.78657929152944,37.58333807086
Торговое плодоовощное ГУП «Алтуфьево»,55.86636515514195,37.57783318465682
Управление механизации № 37 ЗАО «Мосстроймеханизация — 5»,55.77265252080595,37.5186861
Фабрика «Кожгалантерея»,55.8891329425768,37.6443362
Хладокомбинат № 7,55.7813418,37.68757152898551
Хлебозавод имени Зотова,55.77029142817339,37.564479982806255
ЦНИИХМ,55.67272185,37.64450849224119
Царицынский мясокомбинат,55.632744452544266,37.63435363647253
Электродепо «Калужское»,55.66022195,37.54603157592369
Электродепо «Красная Пресня»,55.76761075,37.56179034780652
Электроподстанция 213,55.65380462351063,37.62320451349261
Южный порт,55.7017415,37.6878325
